Name,Latitude,Longitude,Phone No,Address
"Girija Foundation, New Panvel",19.0173212,73.16769124,7405169492,"RIVERVIEW, ROW HOUSE NO 19, Matheran Rd, near NERA, New Panvel East, Chipale, Maharashtra 410206"
Sukarma Charitable Trust,19.01151251,73.11441254,9930804078,"Plot no A14, Sector 7, Khanda Colony, near Dr. Pillai global academy, behind Ganesh Durga Mata Mandir, Greater Khanda, Maharashtra 410206"
Asha Foundations,19.00950593,73.20815403,9870270445,"Plot No.659, Waje, Panvel, Adai, Maharashtra 410206"
Seva Sadan Society,18.96109579,72.81270379,23889109,"30/31 Pandita Ramabai Road, Gamdevi, Mumbai 400 007, India"
Mangalam Foundation,19.06997213,73.0721859,9167157626,"Owe Plot - 12, Sector 30, Kharghar, Navi Mumbai, Maharashtra 410210"
The Kanchan Foundation,19.08938301,73.0089819,9619910932,"Plot No 282, Gurudakshina,Ground Floor, Sector 28, Vashi, Navi Mumbai, Maharashtra 400705"
Aarna Foundation,19.20663478,72.95593341,9594096655,"Shop no -1, Gulmohar Society, Patilwadi Rd, near Sankalp School, Patil Wadi, Sawarkar Nagar, Savarkar Nagar, Thane West, Thane, Maharashtra 400606"
Mumbai Roti Bank,19.00684209,72.83237522,8655580001,"ONE INDIABULLS CENTRE, Saidham Nagar, Parel, Mumbai, Maharashtra 400012"
Navi Mumbai First Charitable Trust,19.09162858,73.00573645,NA,"Building plot no.74, 406-407,Persipolis, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703"
Vatsalya Trust Mumbai,19.06337321,73.00763301,2227753689,"PLOT # 11, Sector 2 Sanpada Rd, Sector 2, Sanpada, Navi Mumbai, Maharashtra 400705"
